ClefPromotion,CodePromotion,NomPromotion,TypePromotion,DateDebut,DateFin
1,P001,Multi-lateral secondary middleware,Offre Gratuite,2024-09-07,2024-12-04
2,P002,Balanced client-driven framework,Montant Fixe,2024-05-31,2024-09-05
3,P003,User-centric eco-centric neural-net,Pourcentage,2024-04-18,2024-10-13
4,P004,Versatile bottom-line architecture,Offre Gratuite,2024-11-27,2024-12-12
5,P005,Virtual tangible groupware,Pourcentage,2024-06-07,2024-07-27
6,P006,Innovative well-modulated architecture,Pourcentage,2024-01-16,2024-09-03
7,P007,Diverse multi-tasking Graphic Interface,Montant Fixe,2024-11-01,2024-12-03
8,P008,Proactive motivating budgetary management,Pourcentage,2024-07-14,2024-10-30
9,P009,Open-source cohesive productivity,Offre Gratuite,2024-07-09,2024-12-08
10,P010,Down-sized reciprocal implementation,Montant Fixe,2024-10-01,2024-11-29
