ClefPromotion,CodePromotion,NomPromotion,TypePromotion,DateDebut,DateFin
1,P001,L'art d'innover à la pointe,Réduction,2024-02-02,2024-03-17
2,P002,L'art de changer sans soucis,Montant Fixe,2024-03-15,2024-04-13
3,P003,Le droit d'innover de manière sûre,Produit Offert,2024-02-20,2024-05-08
4,P004,L'avantage d'évoluer de manière sûre,Réduction,2024-06-06,2024-09-03
5,P005,L'art de louer naturellement,Produit Offert,2024-03-10,2024-05-26
6,P006,L'assurance de concrétiser vos projets autrement,Produit Offert,2024-04-21,2024-09-14
7,P007,L'art de louer plus rapidement,Réduction,2024-09-19,2024-09-26
8,P008,Le plaisir de louer en toute tranquilité,Réduction,2024-06-05,2024-07-25
9,P009,Le confort d'évoluer de manière sûre,Montant Fixe,2024-01-05,2024-12-10
10,P010,La possibilité de louer naturellement,Produit Offert,2024-09-25,2024-10-29
